X(E/m),Y(N/m)
330166.867231086886022,4156677.424197960644960
330167.069537784671411,4156677.375657957978547
330167.272298353142105,4156677.349309890531003
330167.457161168335006,4156677.312227265909314
330167.650859392888378,4156677.274963943287730
330167.853166097891517,4156677.226423959247768
330168.046637394698337,4156677.178064682986587
330168.134537633624859,4156677.154065746814013
330168.319400455919094,4156677.116983139421791
330168.530542578198947,4156677.068262473680079
330168.733076224685647,4156677.030818477738649
330168.935382940573618,4156676.982278520707041
330169.120018835412338,4156676.934099968522787
330169.322325557703152,4156676.885560021735728
330169.419061210996006,4156676.861380399670452
330169.506961456499994,4156676.837381477467716
330169.691824290377554,4156676.800298903137445
330169.876233264221810,4156676.741024404298514
330170.078766922932118,4156676.703580439556390
330170.272465172572993,4156676.666317179333419
330170.465936491382308,4156676.617957960348576
330170.668243225314654,4156676.569418045692146
330170.764751958078705,4156676.534142475109547
330170.967058695387095,4156676.485602568835020
330171.160303094889969,4156676.426147400401533
330171.362382908002473,4156676.366511538624763
330171.582133545831311,4156676.306514287833124
330171.766315613873303,4156676.236143865156919
330171.959333096048795,4156676.165592751000077
330172.161185992532410,4156676.094860943499953
330172.336759583384264,4156676.035767196211964
330172.503724694601260,4156675.987950112670660
330172.679525219020434,4156675.939952337648720
330172.881831979728304,4156675.891412478405982
330173.066694845911115,4156675.854329978581518
330173.251557711279020,4156675.817247484810650
330173.348520314437337,4156675.804163875523955
330173.541991669801064,4156675.755804728250951
330173.708956792484969,4156675.707987669389695
330173.884984251519199,4156675.671085884328932
330174.078682537656277,4156675.633822714909911
330174.281670086609665,4156675.618570785969496
330174.457697551755700,4156675.581669012550265
330174.642560427775607,4156675.544586551375687
330174.844867207109928,4156675.496046739164740
330175.038338576676324,4156675.447687627747655
330175.223201459855773,4156675.410605178680271
330175.425735168333631,4156675.373161347582936
330175.645712779369205,4156675.324260172434151
330175.830575667263474,4156675.287177735939622
330175.927311356528662,4156675.262998191174120
330176.120782736456022,4156675.214639104902744
330176.322862608532887,4156675.155003367923200
330176.516560912481509,4156675.117740255314857
330176.692588395555504,4156675.080838531721383
330176.895122116897255,4156675.043394736945629
330177.106491251965053,4156675.005770255811512
330177.291127231088467,4156674.957591889426112
330177.475763212132733,4156674.909413525834680
330177.669234607485123,4156674.861054474953562
330177.862479082657956,4156674.801599466241896
330178.029671164636966,4156674.764878460206091
330178.223142565926537,4156674.716519424691796
330178.425222462625243,4156674.656883737538010
330178.618693868280388,4156674.608524709474295
330178.794721369398758,4156674.571623032446951
330178.996801270695869,4156674.511987358797342
330179.190045764320530,4156674.452532381284982
330179.374908683355898,4156674.415450024884194
330179.568607016699389,4156674.378186985384673
330179.779749259818345,4156674.329466608352959
330179.982283009507228,4156674.292022891342640
330180.167145934712607,4156674.254940553568304
330180.369452768529300,4156674.206400881521404
330180.571532690431923,4156674.146765246987343
330180.765231033903547,4156674.109502235893160
330180.949867050047033,4156674.061323950998485
330181.152400809922256,4156674.023880260996521
330181.258198854804505,4156674.010616059880704
330181.460732616833411,4156673.973172378260642
330181.654430967406370,4156673.935909387655556
330181.856510903453454,4156673.876273785717785
330182.058590839966200,4156673.816638190764934
330182.243453782692086,4156673.779555899091065
330182.437379053968471,4156673.753388892393559
330182.640139739727601,4156673.727041203994304
330182.834291926235892,4156673.711970170959830
330183.019381786696613,4156673.685983864124864
330183.213080148911104,4156673.648720909841359
330183.415613926190417,4156673.611277277581394
330183.600476877880283,4156673.574195015244186
330183.767669001594186,4156673.537474128417671
330183.961367369745858,4156673.500211191829294
330184.181798891746439,4156673.473502175416797
330184.366888760123402,4156673.447515897918493
330184.551978629548103,4156673.421529623679817
330184.754512414452620,4156673.384086023550481
330184.948210791568272,4156673.346823111176491
330185.124465248314664,4156673.321017532609403
330185.309782031807117,4156673.306127239950001
330185.521378147532232,4156673.279598941560835
330185.715757255500648,4156673.275623940397054
330185.892011715157423,4156673.249818378128111
330186.085937005816959,4156673.223651458043605
330186.297533125034533,4156673.197123178746551
330186.491231509309728,4156673.159860303625464
330186.685383711068425,4156673.144789360463619
330186.888144419528544,4156673.118441778700799
330187.108575956837740,4156673.091732839122415
330187.302501253434457,4156673.065565947908908
330187.496199643937871,4156673.028303095605224
330187.707341957488097,4156672.979582923930138
330187.900813442654908,4156672.931224116589874
330188.085903330356814,4156672.905237921513617
330188.279374821344391,4156672.856879123020917
330188.490744048263878,4156672.819254934787750
330188.684215543093160,4156672.770896146539599
330188.869305435917340,4156672.744909969624132
330189.063003839110024,4156672.707647154573351
330189.265310753486119,4156672.659107702318579
330189.441565235494636,4156672.633302215486765
330189.617819716222584,4156672.607496733311564
330189.829188953852281,4156672.569872580002993
330190.023341171268839,4156672.554801717400551
330190.208204168186057,4156672.517719606403261
330190.392613360483665,4156672.458445569965988
330190.480513701681048,4156672.434446874074638
330190.577476358390413,4156672.421363466419280
330190.753277042997070,4156672.373366079758853
330190.920242314925417,4156672.325549372471869
330191.096043000870850,4156672.277551993262023
330191.289968324010260,4156672.251385196577758
330191.456933600828052,4156672.203568499069661
330191.624352679937147,4156672.177943735383451
330191.800153374555521,4156672.129946370609105
330191.967345555021893,4156672.093225650023669
330192.125702323974110,4156672.056685606483370
330192.292894509155303,4156672.019964893348515
330192.477984425728209,4156671.993978797923774
330192.663074340904132,4156671.967992706224322
330192.830493429501075,4156671.942367968149483
330193.006521034287289,4156671.905466593801975
330193.200219470483717,4156671.868203876074404
330193.376247075852007,4156671.831302510574460
330193.534830753516871,4156671.805858458392322
330193.720147575833835,4156671.790968356654048
330193.914299811352976,4156671.775897584389895
330194.090554321301170,4156671.750092198606580
330194.266581934411079,4156671.713190852198750
330194.451218064175919,4156671.665012871846557
330194.635627300885972,4156671.605738930869848
330194.802819503587671,4156671.569018268492073
330194.970238604408223,4156671.543393573723733
330195.163937053177506,4156671.506130902096629
330195.357635505730286,4156671.468868236057460
330195.533663128968328,4156671.431966914795339
330195.718753062654287,4156671.405980892945081
330195.903616103925742,4156671.368898911401629
330196.088479146594182,4156671.331816933117807
330196.255898254807107,4156671.306192263495177
330196.432152777211741,4156671.280386927537620
330196.626078133704141,4156671.254220254719257
330196.802332660183311,4156671.228414926677942
330196.969524877727963,4156671.191694309003651
330197.154387927788775,4156671.154612354002893
330197.338797189819161,4156671.095338476356119
330197.514824827550910,4156671.058437197003514
330197.681790157745127,4156671.010620628017932
330197.769690531422384,4156670.986622010357678
330197.963389002368785,4156670.949359406717122
330198.139416645281017,4156670.912458141334355
330198.306608871440403,4156670.875737552065402
330198.491245040902868,4156670.827559661585838
330198.675881212344393,4156670.779381776694208
330198.842846553598065,4156670.731565232388675
330199.010038785869256,4156670.694844654761255
330199.194901853799820,4156670.657762746792287
330199.379764923127368,4156670.620680842548609
330199.547184050083160,4156670.595056241378188
330199.714376289746724,4156670.558335677254945
330199.890177054330707,4156670.510338487103581
330200.065977825317532,4156670.462341300677508
330200.232716287602670,4156670.403428820427507
330200.400135422823951,4156670.377804236486554
330200.567327667493373,4156670.341083690058440
330200.708013664232567,4156670.304905145429075
330200.830348164541647,4156670.235800041351467
330200.978508248110302,4156670.132865048479289
330201.108543727081269,4156670.008099460974336
330201.255796264740638,4156669.860780616290867
330201.385377973667346,4156669.713823105208576
330201.505216718069278,4156669.522662403061986
330201.624828582745977,4156669.320405737962574
330201.709098780876957,4156669.118871734011918
330201.775471257860772,4156668.906603095121682
330201.824172904714942,4156668.694695785176009
330201.864266021293588,4156668.494065104052424
330201.895069946942385,4156668.271423160098493
330201.907749262521975,4156668.026950616389513
330201.903211516095325,4156667.805031330324709
330201.872167511959560,4156667.583654036745429
330201.814617245981935,4156667.362818735186011
330201.757066979538649,4156667.141983435489237
330201.690908178163227,4156666.932424763683230
330201.598243111046031,4156666.723408088088036
330201.496515731327236,4156666.503476112615317
330201.377571281278506,4156666.306097395718098
330201.250018292921595,4156666.119995309971273
330201.113629875821061,4156665.934073891956359
330200.986303764744662,4156665.759067773818970
330200.868039958411828,4156665.594976958353072
330200.740940725954715,4156665.431066808290780
330200.595943756226916,4156665.256422026548535
330200.450946778408252,4156665.081777249462903
330200.306176686019171,4156664.918228437658399
330200.179077432723716,4156664.754318296909332
330200.106805825431366,4156664.678091874811798
330199.997604299453087,4156664.524916368070990
330199.888402769691311,4156664.371740863192827
330199.770138923195191,4156664.207650059834123
330199.651648179860786,4156664.032463296316564
330199.533611216582358,4156663.879468461498618
330199.397903397679329,4156663.726834961213171
330199.253360152652021,4156663.574382131453604
330199.126487749861553,4156663.421567970421165
330199.008677657227963,4156663.279669106006622
330198.872969821619336,4156663.127035614568740
330198.737715761177242,4156662.996594054158777
330198.602007916080765,4156662.843960567843169
330198.449082999955863,4156662.713880346622318
330198.295931185130030,4156662.572704164311290
330198.169739425880834,4156662.453177908901125
330198.043320770841092,4156662.322555691003799
330197.916902109631337,4156662.191933474969119
330197.781194236769807,4156662.039300000295043
330197.654548676917329,4156661.897581823170185
330197.527903112932108,4156661.755863647907972
330197.410319863236509,4156661.625060770660639
330197.301798928878270,4156661.505173190031201
330197.210721950395964,4156661.373828308656812
330197.102201009984128,4156661.253940729890019
330196.983710173168220,4156661.078754000365734
330196.848002265673131,4156660.926120541058481
330196.721356671419926,4156660.784402376972139
330196.640022678417154,4156660.697260687593371
330196.495706225745380,4156660.555903868749738
330196.360225195181556,4156660.414366378914565
330196.345490519306622,4156660.126051978208125
330196.209555690875277,4156659.962322562001646
330196.082456285017543,4156659.798412479460239
330195.947429022809956,4156659.679066925309598
330195.811947969254106,4156659.537529446184635
330195.667631483054720,4156659.396172638982534
330195.532377313240431,4156659.265731127932668
330195.396896246005781,4156659.124193652067333
330195.270704393973574,4156659.004667439032346
330195.126841680903453,4156658.885502568911761
330194.982525169616565,4156658.744145773351192
330194.847270980826579,4156658.613704272080213
330194.703408254892565,4156658.494539408478886
330194.541647767531686,4156658.364639927167445
330194.397785032866523,4156658.245475070551038
330194.271593153243884,4156658.125948870088905
330194.048892229853664,4156658.041697960346937
330193.878750090254471,4156657.934171091299504
330193.807159059913829,4156657.891232615336776
330193.654460876365192,4156657.772248440422118
330193.502216481778305,4156657.675456200726330
330193.340682857320644,4156657.556652705185115
330193.197273887577467,4156657.459679795894772
330193.062700344889890,4156657.362526215147227
330192.910455935751088,4156657.265733985230327
330192.766139360785019,4156657.124377224128693
