X(E/m),Y(N/m)
330206.549889924121089,4156672.860698554199189
330206.473774424695875,4156673.028763954062015
330206.405813698831480,4156673.163360802922398
330206.320862792548724,4156673.331606866326183
330206.226622713147663,4156673.477841662708670
330206.123547224560753,4156673.624257116578519
330206.029080267762765,4156673.759395950473845
330205.935293965681922,4156673.927822678349912
330205.823609956423752,4156674.085514763370156
330205.738205309258774,4156674.231568902730942
330205.643738368293270,4156674.366707740817219
330205.531827490020078,4156674.513303866144270
330205.420143499039114,4156674.670995956752449
330205.290334922843613,4156674.806857442017645
330205.186805701465346,4156674.931080982089043
330205.083730250364169,4156675.077496454119682
330204.972046273644082,4156675.235188551712781
330204.860135419527069,4156675.381784685887396
330204.756606212060433,4156675.506008232012391
330204.636086839367636,4156675.663880996406078
330204.515113702509552,4156675.799561833497137
330204.376469746814109,4156675.935603997670114
330204.264332030666992,4156676.071104176342487
330204.152648083632812,4156676.228796286508441
330204.023520208778791,4156676.397945686709136
330203.912063158350065,4156676.566733764950186
330203.782708406215534,4156676.724787204060704
330203.662189072871115,4156676.882659984286875
330203.523772035725415,4156677.029798128642142
330203.403025823645294,4156677.176574947312474
330203.282279615988955,4156677.323351770173758
330203.161760296788998,4156677.481224556453526
330203.041467873263173,4156677.650193311739713
330202.920494790305384,4156677.785874173976481
330202.799294826632831,4156677.910459074657410
330202.669713232666254,4156678.057416569907218
330202.522687712567858,4156678.215831359382719
330202.401714648818597,4156678.351512230001390
330202.281195364310406,4156678.509385033044964
330202.151840674749110,4156678.667438500560820
330202.013650587527081,4156678.825672636274248
330201.901512946118601,4156678.961172850336879
330201.789602198987268,4156679.107769031543285
330201.650958346901461,4156679.243811244145036
330201.512541388219688,4156679.390949423890561
330201.400857540662400,4156679.548641575500369
330201.271729776111897,4156679.717791022267193
330201.160499718447682,4156679.897675106767565
330201.048588997742627,4156680.044271298684180
330200.928069764806423,4156680.202144121285528
330200.807777423935477,4156680.371112911961973
330200.687485090456903,4156680.540081704501063
330200.592791420174763,4156680.664124642033130
330200.481107608298771,4156680.821816806681454
330200.351979883387685,4156680.990966270212084
330200.240749864140525,4156681.170850367750973
330200.137674582540058,4156681.317265907768160
330200.017155386332888,4156681.475138746201992
330199.897089977050200,4156681.655203515198082
330199.775890114833601,4156681.779788463842124
330199.655597824021243,4156681.948757272213697
330199.544140942161903,4156682.117545415647328
330199.415467041078955,4156682.308886826038361
330199.304010169231333,4156682.477674973197281
330199.218832620070316,4156682.634825153276324
330199.107375757070258,4156682.803613304626197
330198.987310388009064,4156682.983678088057786
330198.866791239357553,4156683.141550946515054
330198.763942900695838,4156683.299062468577176
330198.670383751916233,4156683.478585253469646
330198.550318402878474,4156683.658650044817477
330198.482584794750437,4156683.804342933930457
330198.388571874238551,4156683.961673793382943
330198.286177340080030,4156684.141377252060920
330198.165885118418373,4156684.310346086043864
330198.063263702380937,4156684.478953581769019
330197.942744592146482,4156684.636826454196125
330197.849185480037704,4156684.816349250264466
330197.738636253052391,4156685.029521279036999
330197.627406349056400,4156685.209405418951064
330197.533620356465690,4156685.377832253463566
330197.387275755521841,4156685.569535037502646
330197.284881267056335,4156685.749238511547446
330197.173424488399178,4156685.918026690836996
330197.061967714398634,4156686.086814871523529
330196.950510942784604,4156686.255603054072708
330196.856498083798215,4156686.412933933082968
330196.745268216764089,4156686.592818084172904
330196.642419964424334,4156686.750329637434334
330196.548860909184441,4156686.929852450266480
330196.428568763891235,4156687.098821311723441
330196.325720524415374,4156687.256332869641483
330196.231707685044967,4156687.413663756567985
330196.129313246463425,4156687.593367245048285
330196.035981109365821,4156687.783986030612141
330195.959412183263339,4156687.929859614465386
330195.847955460776575,4156688.098647814244032
330195.754623336601071,4156688.289266602601856
330195.652002023067325,4156688.457874134648591
330195.549380713899154,4156688.626481666695327
330195.463976407889277,4156688.772535928525031
330195.370417401078157,4156688.952058755792677
330195.267796104308218,4156689.120666292030364
330195.182618706719950,4156689.277816521003842
330195.088832814362831,4156689.446243388578296
330194.995273824199103,4156689.625766221433878
330194.892425645724870,4156689.783277798909694
330194.798185968596954,4156689.929512740578502
330194.713462388492189,4156690.108854904770851
330194.619903412472922,4156690.288377742748708
330194.516828351188451,4156690.434793360531330
330194.423042488982901,4156690.603220237419009
330194.320875031989999,4156690.794019717257470
330194.209418384358287,4156690.962807941250503
330194.080517854308710,4156691.143053480423987
330193.959318225854076,4156691.267638524062932
330193.829737006686628,4156691.414596172980964
330193.699928892136086,4156691.550457858480513
330193.578502373013180,4156691.663946942426264
330193.456848959205672,4156691.766340063884854
330193.352866335771978,4156691.868371837306768
330193.239821420633234,4156691.959488323424011
330193.127457210444845,4156692.083892704918981
330192.996741513954476,4156692.175370543263853
330192.857417325838469,4156692.278125023469329
330192.709257750306278,4156692.381060180719942
330192.543881193269044,4156692.506548620760441
330192.395494723692536,4156692.598387819714844
330192.230118175502867,4156692.723876266274601
330192.072896318160929,4156692.815896147396415
330191.924736761546228,4156692.918831318616867
330191.758906421368010,4156693.022127846255898
330191.592395378393121,4156693.092136480845511
330191.426111241336912,4156693.173241084907204
330191.277497889823280,4156693.253984339535236
330191.128430733922869,4156693.312535666394979
330190.952857405529357,4156693.371629028581083
