X(E/m),Y(N/m),direction
330171.603549105697311,4156686.429829110391438,0
330171.543062879121862,4156686.497669783420861,0
330171.491185122111347,4156686.554233791772276,0
330171.387883471441455,4156686.689553744159639,0
330171.284354894771241,4156686.813777730800211,0
330171.163382451282814,4156686.949459081050009,0
330171.102669300045818,4156687.006203790660948,0
330171.007976131280884,4156687.130247084889561,0
330170.886776766972616,4156687.254832472652197,0
330170.747906607575715,4156687.379779260605574,0
330170.678584993584082,4156687.447800639551133,0
330170.539260979334358,4156687.550555498339236,0
330170.400390830240212,4156687.675502290949225,0
330170.253139146254398,4156687.822821716312319,0
330170.114269006066024,4156687.947768514510244,0
330169.983553474186920,4156688.039246720261872,0
330169.835167145822197,4156688.131086327601224,0
330169.669110026035924,4156688.223287335596979,0
330169.502825975418091,4156688.304392381571233,0
330169.345150395995006,4156688.374220766127110,0
330169.169804020493757,4156688.444410553667694,0
330168.994230714975856,4156688.503504381049424,0
330168.836101274937391,4156688.551140844821930,0
330168.757036557828542,4156688.574959078803658,0
330168.589844788890332,4156688.611680283676833,0
330168.413590689655393,4156688.637486225459725,0
330168.228274259250611,4156688.652376908808947,0
330168.148528742662165,4156688.642907251138240,0
330167.972047710674815,4156688.657617238350213,0
330167.786731283180416,4156688.672507929150015,0
330167.610023317509331,4156688.676121959462762,0
330167.450986147741787,4156688.679374589584768,0
330167.283113582059741,4156688.682807923294604,0
330167.194532663910650,4156688.673518978059292,0
330167.035041622933932,4156688.654579685069621,0
330166.955069166491739,4156688.634014073759317,0
330166.892994443944190,4156688.624183024745435,0
330166.741884927556384,4156688.582871104590595,0
330166.582166949519888,4156688.552835853770375,0
330166.431284368503839,4156688.522619906812906,0
330166.280401783995330,4156688.492403959389776,0
330166.129065324901603,4156688.439996083267033,0
330165.986564264574554,4156688.387407508213073,0
330165.834773929673247,4156688.312807707116008,0
330165.754574529360980,4156688.281146144494414,0
330165.594175726757385,4156688.217823015991598,0
330165.433549986220896,4156688.143403927329928,0
330165.272697302745655,4156688.057888874318451,0
330165.112298494088463,4156687.994565757457167,0
330164.969116604363080,4156687.908689303323627,0
330164.808490849565715,4156687.834270225372165,0
330164.728064501890913,4156687.791512705385685,0
330164.593491065083072,4156687.694359586108476,0
330164.450082225841470,4156687.597387175541371,0
330164.297837981430348,4156687.500595472287387,0
330164.136758336157072,4156687.403984476812184,0
330163.993349486379884,4156687.307012072298676,0
330163.849486751714721,4156687.187847742345184,0
330163.697015555051621,4156687.079960083123296,0
330163.544090472161770,4156686.949880497064441,0
330163.400227727135643,4156686.830716172233224,0
330163.247529575368389,4156686.711732556577772,0
330163.085996021050960,4156686.592929649632424,0
330162.941906322375871,4156686.462669366504997,0
330162.815260477713309,4156686.320951709058136,0
330162.743215625523590,4156686.255821569822729,0
330162.653499968349934,4156686.191052844282240,0
330162.518018715782091,4156686.049515896476805,0
330162.382537456520367,4156685.907978951931000,0
330162.247056194872130,4156685.766442008782178,0
330162.093904123408720,4156685.625266481190920,0
330161.950041334726848,4156685.506102181039751,0
330161.823849345440976,4156685.386576468124986,0
330161.760639877291396,4156685.321265629027039,0
330161.625158595736139,4156685.179728696588427,0
330161.498739654314704,4156685.049107022117823,0
330161.389991513569839,4156684.918123933020979,0
330161.264026450458914,4156684.809694194234908,0
330161.155278302961960,4156684.678711107932031,0
330161.037694749538787,4156684.547908732201904,0
330160.929173538461328,4156684.428021613042802,0
330160.811816921515856,4156684.308315207250416,0
330160.702614873531274,4156684.155140195507556,0
330160.602248224895447,4156684.001784477382898,0
330160.502108516695444,4156683.859524726402014,0
330160.384297997807153,4156683.717626394238323,0
330160.284158282564022,4156683.575366643723100,0
330160.192627023789100,4156683.421830220613629,0
330160.101322706090286,4156683.279389764647931,0
330160.001182981126476,4156683.137130018323660,0
330159.909878657257650,4156682.994689563754946,0
330159.827636679576244,4156682.863164365291595,0
330159.745394701662008,4156682.731639168690890,0
330159.636419559596106,4156682.589560136198997,0
330159.581818513688631,4156682.512972637545317,0
330159.481905716354959,4156682.381808863487095,0
330159.391055266256444,4156682.261560345068574,0
330159.291142463102005,4156682.130396571010351,0
330159.191002713632770,4156681.988136833999306,0
330159.108987660962157,4156681.867707609664649,0
330159.017683309037238,4156681.725267163477838,0
330158.917770493833814,4156681.594103393144906,0
330158.799959917552769,4156681.452205082401633,0
