stamp,lat,lon,alt
1756981236.4896443,37.5414617,127.0778553,40.768
1756981236.7166862,37.54146,127.0778575,40.748
1756981236.9818556,37.541458,127.07785969999999,40.75
1756981237.234083,37.541455899999995,127.0778617,40.756
1756981237.4872687,37.5414537,127.0778636,40.77
1756981237.7161705,37.5414515,127.07786549999999,40.779
1756981237.9673755,37.5414493,127.077867,40.77
1756981238.2164803,37.541446799999996,127.0778684,40.768
1756981238.484487,37.541444299999995,127.0778699,40.765
1756981238.7318368,37.541441899999995,127.0778716,40.748
1756981238.970878,37.5414394,127.07787339999999,40.719
1756981239.216214,37.5414367,127.0778752,40.719
1756981239.480698,37.5414342,127.0778771,40.717
1756981239.7342253,37.5414318,127.07787909999999,40.715
1756981239.972268,37.5414294,127.0778809,40.689
1756981240.2175627,37.5414269,127.0778826,40.683
1756981240.491468,37.541424299999996,127.07788439999999,40.687
1756981240.7348514,37.5414217,127.07788649999999,40.686
1756981240.9850495,37.5414191,127.07788839999999,40.674
1756981241.2174072,37.5414163,127.07789029999999,40.681
1756981241.493265,37.5414138,127.0778922,40.681
1756981241.736959,37.5414114,127.077894,40.677
1756981241.9816108,37.541409,127.07789589999999,40.671
1756981242.213406,37.5414065,127.07789779999999,40.687
1756981242.344935,37.541405399999995,127.07789869999999,40.688
1756981242.6150959,37.5414031,127.0779007,40.68
1756981242.8661783,37.5414008,127.0779025,40.69
1756981243.0920026,37.5413983,127.0779044,40.69
1756981243.3587344,37.541396,127.07790639999999,40.707
1756981243.613135,37.5413937,127.07790849999999,40.711
1756981243.8586833,37.5413913,127.07791049999999,40.725
1756981244.1056342,37.5413888,127.0779127,40.725
1756981244.347948,37.5413864,127.0779146,40.742
1756981244.6111655,37.541384,127.0779166,40.74
1756981244.843618,37.541381799999996,127.07791879999999,40.748
1756981245.1053116,37.5413794,127.07792119999999,40.747
1756981245.3447337,37.5413773,127.0779235,40.741
1756981245.61212,37.541375099999996,127.0779259,40.733000000000004
1756981245.8570344,37.541373,127.0779283,40.718
1756981246.0928113,37.5413709,127.0779309,40.732
1756981246.341611,37.5413688,127.0779336,40.730000000000004
1756981246.6064992,37.5413667,127.0779364,40.746
1756981246.8582475,37.5413645,127.07793919999999,40.730000000000004
1756981247.0945747,37.5413624,127.0779419,40.748
1756981247.3546755,37.5413606,127.0779445,40.733000000000004
1756981247.5940998,37.5413588,127.07794729999999,40.744
1756981247.841498,37.5413569,127.0779503,40.736000000000004
1756981248.1114545,37.5413551,127.07795329999999,40.751
1756981248.34327,37.541353099999995,127.07795619999999,40.765
1756981248.6104085,37.5413511,127.0779592,40.793
1756981248.8603368,37.541349,127.0779625,40.79
1756981249.0938697,37.5413472,127.0779656,40.784
1756981249.336966,37.5413454,127.07796859999999,40.765
1756981249.4870453,37.5413444,127.07797,40.772
1756981249.7349699,37.5413425,127.0779731,40.743
1756981249.9672117,37.5413408,127.0779761,40.774
1756981250.21512,37.541339,127.07797889999999,40.749
1756981250.4921904,37.541337399999996,127.0779814,40.715
1756981250.7334058,37.5413353,127.0779838,40.671
1756981250.96784,37.5413334,127.07798589999999,40.699
1756981251.2098472,37.5413318,127.07798779999999,40.682
1756981251.340979,37.5413309,127.07798849999999,40.67
1756981251.6098273,37.5413293,127.07798989999999,40.635
1756981251.8581212,37.541328,127.077991,40.6
1756981252.080289,37.5413268,127.0779919,40.58
1756981252.2142303,37.5413263,127.07799229999999,40.562
