stamp,ori_x,ori_y,ori_z,ori_w
1756981205.3056731,0.0,0.0,0.0,1.0
1756981205.3057313,0.0,0.0,0.0,1.0
1756981205.3057601,0.0,0.0,0.0,1.0
1756981205.3057864,0.0,0.0,0.0,1.0
1756981205.305814,0.0,0.0,0.0,1.0
1756981205.305839,0.0,0.0,0.0,1.0
1756981205.305857,0.0,0.0,0.0,1.0
1756981205.3253818,0.0,0.0,0.0,1.0
1756981205.3254576,0.0,0.0,0.0,1.0
1756981205.3254857,0.0,0.0,0.0,1.0
1756981205.325529,0.0,0.0,0.0,1.0
1756981205.3255568,0.0,0.0,0.0,1.0
1756981205.325583,0.0,0.0,0.0,1.0
1756981205.3256106,0.0,0.0,0.0,1.0
1756981205.3546689,0.0,0.0,0.0,1.0
1756981205.354749,0.0,0.0,0.0,1.0
1756981205.354779,0.0,0.0,0.0,1.0
1756981205.3548062,0.0,0.0,0.0,1.0
1756981205.3548312,0.0,0.0,0.0,1.0
1756981205.3548565,0.0,0.0,0.0,1.0
1756981205.354873,0.0,0.0,0.0,1.0
1756981205.366209,0.0,0.0,0.0,1.0
1756981205.3662438,0.0,0.0,0.0,1.0
1756981205.3662622,0.0,0.0,0.0,1.0
1756981205.3662791,0.0,0.0,0.0,1.0
1756981205.3662958,0.0,0.0,0.0,1.0
1756981205.3663127,0.0,0.0,0.0,1.0
1756981205.3663301,0.0,0.0,0.0,1.0
1756981205.3791227,0.0,0.0,0.0,1.0
1756981205.386598,0.0,0.0,0.0,1.0
1756981205.3866158,0.0,0.0,0.0,1.0
1756981205.3866246,0.0,0.0,0.0,1.0
1756981205.3866324,0.0,0.0,0.0,1.0
1756981205.3866405,0.0,0.0,0.0,1.0
1756981205.3866482,0.0,0.0,0.0,1.0
1756981205.386656,0.0,0.0,0.0,1.0
1756981205.4140527,0.0,0.0,0.0,1.0
1756981205.414086,0.0,0.0,0.0,1.0
1756981205.414105,0.0,0.0,0.0,1.0
1756981205.414122,0.0,0.0,0.0,1.0
1756981205.4141395,0.0,0.0,0.0,1.0
1756981205.4141557,0.0,0.0,0.0,1.0
1756981205.414173,0.0,0.0,0.0,1.0
1756981205.4256418,0.0,0.0,0.0,1.0
1756981205.4256775,0.0,0.0,0.0,1.0
1756981205.4256964,0.0,0.0,0.0,1.0
1756981205.4257135,0.0,0.0,0.0,1.0
1756981205.4257307,0.0,0.0,0.0,1.0
1756981205.425749,0.0,0.0,0.0,1.0
1756981205.4257662,0.0,0.0,0.0,1.0
1756981205.4471087,0.0,0.0,0.0,1.0
1756981205.4471302,0.0,0.0,0.0,1.0
1756981205.4471397,0.0,0.0,0.0,1.0
1756981205.4472058,0.0,0.0,0.0,1.0
1756981205.447217,0.0,0.0,0.0,1.0
1756981205.4472299,0.0,0.0,0.0,1.0
1756981205.4472547,0.0,0.0,0.0,1.0
1756981205.4669359,0.0,0.0,0.0,1.0
1756981205.4669776,0.0,0.0,0.0,1.0
1756981205.4670079,0.0,0.0,0.0,1.0
1756981205.467039,0.0,0.0,0.0,1.0
1756981205.4670606,0.0,0.0,0.0,1.0
1756981205.4670892,0.0,0.0,0.0,1.0
1756981205.4671204,0.0,0.0,0.0,1.0
1756981205.4791968,0.0,0.0,0.0,1.0
1756981205.4983695,0.0,0.0,0.0,1.0
1756981205.4984283,0.0,0.0,0.0,1.0
1756981205.498465,0.0,0.0,0.0,1.0
1756981205.498491,0.0,0.0,0.0,1.0
1756981205.498554,0.0,0.0,0.0,1.0
1756981205.4985816,0.0,0.0,0.0,1.0
1756981205.4986084,0.0,0.0,0.0,1.0
1756981205.5182133,0.0,0.0,0.0,1.0
1756981205.51825,0.0,0.0,0.0,1.0
1756981205.5182629,0.0,0.0,0.0,1.0
1756981205.5182748,0.0,0.0,0.0,1.0
1756981205.5182862,0.0,0.0,0.0,1.0
1756981205.5182948,0.0,0.0,0.0,1.0
1756981205.518303,0.0,0.0,0.0,1.0
1756981205.545355,0.0,0.0,0.0,1.0
1756981205.545427,0.0,0.0,0.0,1.0
1756981205.5454555,0.0,0.0,0.0,1.0
1756981205.5454822,0.0,0.0,0.0,1.0
1756981205.5455337,0.0,0.0,0.0,1.0
1756981205.5455594,0.0,0.0,0.0,1.0
1756981205.5455873,0.0,0.0,0.0,1.0
1756981205.5642724,0.0,0.0,0.0,1.0
1756981205.564294,0.0,0.0,0.0,1.0
1756981205.5643034,0.0,0.0,0.0,1.0
1756981205.5643137,0.0,0.0,0.0,1.0
1756981205.5643246,0.0,0.0,0.0,1.0
1756981205.5643322,0.0,0.0,0.0,1.0
1756981205.56434,0.0,0.0,0.0,1.0
1756981205.5672722,0.0,0.0,0.0,1.0
1756981205.5673227,0.0,0.0,0.0,1.0
1756981205.5673516,0.0,0.0,0.0,1.0
1756981205.5673785,0.0,0.0,0.0,1.0
1756981205.567404,0.0,0.0,0.0,1.0
1756981205.5674295,0.0,0.0,0.0,1.0
1756981205.5674558,0.0,0.0,0.0,1.0
1756981205.5792372,0.0,0.0,0.0,1.0
1756981205.5901773,0.0,0.0,0.0,1.0
1756981205.5902517,0.0,0.0,0.0,1.0
1756981205.5902748,0.0,0.0,0.0,1.0
1756981205.5902917,0.0,0.0,0.0,1.0
1756981205.590308,0.0,0.0,0.0,1.0
1756981205.5903256,0.0,0.0,0.0,1.0
1756981205.5903423,0.0,0.0,0.0,1.0
1756981205.6097536,0.0,0.0,0.0,1.0
1756981205.6098351,0.0,0.0,0.0,1.0
1756981205.6098695,0.0,0.0,0.0,1.0
1756981205.6098974,0.0,0.0,0.0,1.0
1756981205.6099231,0.0,0.0,0.0,1.0
1756981205.6099494,0.0,0.0,0.0,1.0
1756981205.6099777,0.0,0.0,0.0,1.0
1756981205.6294637,0.0,0.0,0.0,1.0
1756981205.6295652,0.0,0.0,0.0,1.0
1756981205.6296048,0.0,0.0,0.0,1.0
1756981205.6296315,0.0,0.0,0.0,1.0
1756981205.6296597,0.0,0.0,0.0,1.0
1756981205.6296852,0.0,0.0,0.0,1.0
1756981205.6297112,0.0,0.0,0.0,1.0
1756981205.6631513,0.0,0.0,0.0,1.0
1756981205.663207,0.0,0.0,0.0,1.0
1756981205.663239,0.0,0.0,0.0,1.0
1756981205.6632679,0.0,0.0,0.0,1.0
1756981205.663295,0.0,0.0,0.0,1.0
1756981205.66332,0.0,0.0,0.0,1.0
1756981205.663347,0.0,0.0,0.0,1.0
1756981205.6693873,0.0,0.0,0.0,1.0
1756981205.669446,0.0,0.0,0.0,1.0
1756981205.6694796,0.0,0.0,0.0,1.0
1756981205.6696064,0.0,0.0,0.0,1.0
1756981205.669639,0.0,0.0,0.0,1.0
1756981205.669667,0.0,0.0,0.0,1.0
